Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
7,4,8,Aas Mekaniske Verksted AS,OW2222,0-AllShips,null,67.9,Faeroe Islands (Danish),330,Tvoroyri,null,5,2460,null,Faeroe Islands,245,348,9121766,RUNAVIK,62.237667,27,-6.594428,231108029,Stigabrugv,15-NotDefined,null,Bakkafrost P/F,Bakkafrost P/F,Unknown,Klaksvik                              ,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:32:56.000Z""",1668184376,7-Cargo,08/03/1995,0,SH
79,11,20,null,J7AV7,0-AllShips,null,357.9,null,null,Pl Gdy,null,6,12030900,null,null,null,239,8509533,GDYNIA,54.537953,139,18.517195,325109600,Melito Reefer,5-Moored,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2020-01-19T07:11:54.000Z""",1579417914,7-Cargo,null,null,null
19,10,13,Albina,WDC4996,1-HazCatA,null,251.7,United States of America,1055,Seattle,null,4.5,8071000,null,United States Of America,1266,210,8836405,SEATTLE,47.633382,67,-122.329398,367773000,Ocean Fresh,0-Underway(Engine),509280,All Star Fish Co LLC,All Star Fish Co LLC,Unknown,"Petersburg, AK",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-08-27T12:32:52.000Z""",1661603572,7-Cargo,null,0,SH
75,2,14,Shirahama,H3FL,9-NoInfo,Nippon Kaiji Kyokai,157,Japan,2937,Jp Knm S,5.229,5.3,10251200,null,Panama,2782,283,9170963,BANGKOK,33.943667,95,130.925,372770000,Amagi,5-Moored,52997PEXT,Kyoei Kaiun Kaisha Ltd,Kyoei Kaiun Kaisha Ltd,Japan P&I Club,Panama,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:25:13.000Z""",1668183913,7-Cargo,31/07/1997,14,null
0,0,9,null,I8B4064,0-AllShips,null,224.8,null,null,,null,0,0,null,null,null,224.8,0,MALABO,3.7621,23,8.77006,377549000,Sema Iv,15-NotDefined,null,null,null,null,null,null,null,null,null,2.1,null,null,null,"""2022-10-18T21:31:30.000Z""",1666128690,52-Tug,null,null,null
42,3,9,Nagasaki,JM6124,0-AllShips,null,254,Japan,311,,3.95,0,0,null,Japan,343,59.9,0,KARATSU,33.35752,54,129.433555,431601301,Daieimaru No.58,15-NotDefined,132690,Daiei Suisan,Daiei Suisan,Unknown,"Hirado, Nagasaki",Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:31:21.000Z""",1668184281,30-Fishing,20/02/1992,12,SH
null,null,null,null,null,null,null,290.1,null,null,null,null,null,null,null,null,null,288,null,null,36.346617,null,-10.53099,636018031,null,0-Underway(Engine),null,null,null,null,null,null,null,null,null,16.6,null,null,null,"""2022-08-03T05:53:10.000Z""",1659505990,null,null,null,null
110,10,21,Iwagi Zosen Co Ltd,UARD,5-Reserved,Russian Maritime Register,31.6,Russia,8803,Bering Sea,8.316,6.1,10130100,null,Russia,8609,132,9061899,SHAKOTAN,59.079408,142,163.881543,273381350,Kamchatskiy Proliv,1-AtAnchor,null,Morskoy Transport LLC,Morskoy Transport LLC,Unknown,Vladivostok,Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T08:25:55.000Z""",1668155155,7-Cargo,11/01/1993,20,null
0,0,0,Goktepe Gemi Tersanesi,TC7476,0-AllShips,null,0,Turkey,96,,null,0,2460,null,Turkey,157,162.6,0,ISTANBUL,38.195052,0,26.783483,271072769,Basaranlar,15-NotDefined,9258,Basaran Denizcilik,  Unknown,Unknown,Istanbul,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:35:15.000Z""",1668184515,30-Fishing,null,0,SH
0,0,0,null,YB5581,0-AllShips,null,4.8,null,null,,null,0,0,null,null,null,4.8,0,JAKARTA,-6.004502,0,106.809782,525800405,Km.tri Jaya 26,15-NotDefined,null,null,null,null,null,null,null,null,null,4.9,null,null,null,"""2022-10-06T16:08:37.000Z""",1665072517,30-Fishing,null,null,null
