,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
197,55.0,9.0,13.0,Baltijos,UAKG,0-AllShips,Russian Maritime Register,0.0,Russia,1061.0,Vladivostok,4.24,4.3,10111500.0,,Russia,2489.0,348.0,8881357.0,VLADIVOSTOK,43.061682,90.0,131.882833,273815000,Aleut,5-Moored,920267,Antey LLC,Antey LLC,Unknown,Nakhodka,Propeller : Fixed Pitch,427320093.0,UAKG,,0.0,S,In Service/Commission,Fishing Vessel,"""2022-11-11T16:36:33.000Z""",1668184593.0,30-Fishing,,10.9,,POINT (131.882833 43.061682),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
198,87.0,10.0,18.0,Hollming Oy,C6XH5,0-AllShips,Lloyd's Register,35.8,Norway,6000.0,Harlingen,6.8,5.0,11120700.0,,Bahamas,5084.0,37.0,8920995.0,DOVER HARBOR,51.44117,109.0,2.1501,311009700,Green Crystal,0-Underway(Engine),8001554,GreenSea Chartering BVBA,Green Reefers,Skuld,Nassau                                ,Propeller : Fixed Pitch,,,,13.8,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:34:39.000Z""",1668184479.0,7-Cargo,28/03/1991,16.0,,POINT (2.1501 51.44117),265.0,5677.0,French Exclusive Economic Zone,17.0,200NM,17.0,France,FRA,France,0.0,0.0,,,,0.0,0.0,,,,-1.96613,46.04212,5677.0,345240.0,FRA,,,250.0,,,250.0,,
199,20.0,5.0,10.0,Dekom,WDE6294,0-AllShips,,351.9,United States of America,108.0,,,0.0,0.0,,United States Of America,196.0,324.1,0.0,SAN DIEGO,32.694792,35.0,-117.235605,367378390,Rival,15-NotDefined,550412,Everingham Bros Bait Co,Everingham Bros Bait Co,Unknown,"San Diego, CA",Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:40:17.000Z""",1668184817.0,30-Fishing,,0.0,SH,POINT (-117.235605 32.694792),280.0,8456.0,United States Exclusive Economic Zone,2204.0,200NM,2204.0,United States,USA,United States,0.0,0.0,,,,0.0,0.0,,,,-95.8229,34.76294,8456.0,2451023.0,USA,,,840.0,,,840.0,,
200,90.0,6.0,14.0,Huanghai Shipbuilding Co Ltd,BZW7Y,0-AllShips,China Classification Society,-1.0,China,6477.0,,7.4,0.0,0.0,,"China, People's Republic Of",5164.0,121.0,9920942.0,PUSAN,36.873528,117.0,122.445137,412440835,Fuyuanyuyun877,15-NotDefined,,Fujian Zhongji Ocean Fishery,  Unknown,Unknown,"Fuzhou, Fujian",Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2022-10-20T21:50:13.000Z""",1666302613.0,30-Fishing,22/11/2020,13.0,,POINT (122.445137 36.873528),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
201,117.0,15.0,22.0,Shikoku Dockyard,C6EQ6,0-AllShips,Registro Italiano Navale,351.3,Sweden,10603.0,Ruled,9.067,8.4,11050300.0,,Bahamas,10381.0,308.0,9016674.0,SANKT-PETERBURG,59.869153,150.0,30.219968,311000972,Baltic Performer,5-Moored,,Cool Carriers AB,  Unknown,Ingosstrakh Insurance,Nassau,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:37:22.000Z""",1668184642.0,7-Cargo,19/03/1992,20.1,,POINT (30.219968 59.869153),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
202,255.0,22.0,50.0,New Times Shipbuilding Co Ltd,3EOD5,0-AllShips,Korean Register,104.9,South Korea,207999.0,Cn Tac,18.471,12.5,11110930.0,,Panama,108481.0,292.0,9882463.0,TUBARAO,31.22926,299.0,122.672138,351015000,Hl Sapphire,1-AtAnchor,5207421A,H-Line Shipping Co Ltd,H-Line Shipping Co Ltd,Gard,Panama,Propeller : Fixed Pitch,,,Bulk Carrier,0.0,S,In Service/Commission,Bulk Carrier,"""2022-11-11T10:48:38.000Z""",1668163718.0,7-Cargo,04/11/2020,14.5,DHE,POINT (122.672138 31.22926),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
203,131.0,21.0,27.0,Hyundai Mipo Dockyard Co Ltd,HO3256,1-HazCatA,Nippon Kaiji Kyokai,53.6,Japan,22401.0,Kr Kan,9.767,9.3,11121900.0,,Panama,17933.0,55.0,9859894.0,THANH HO CHI MINH,25.639282,172.0,120.678257,374782000,Kmtc Nagoya,0-Underway(Engine),5049619,Korea Marine Transport Co Ltd,Abe Kisen KK,Japan P&I Club,Panama,Propeller : Fixed Pitch,,,Other Cargo Ship,18.5,S,In Service/Commission,Container Ship,"""2022-11-10T20:39:32.000Z""",1668112772.0,7-Cargo,28/02/2019,18.5,DHE,POINT (120.678257 25.639282),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
204,90.0,10.0,16.0,Zhoushan Penglai Shiprepairing,BZW9K,0-AllShips,,257.5,China,,X,6.7,0.0,0.0,,"China, People's Republic Of",4571.0,348.0,0.0,PAPEETE,-13.67815,116.0,-119.691933,412421074,Pingtairongleng2,0-Underway(Engine),3.309E+15,Pingtairong Ocean Fishery,Pingtairong Ocean Fishery,Unknown,"Zhoushan, Zhejiang",Propeller : Fixed Pitch,,,,1.2,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:03:20.000Z""",1668182600.0,7-Cargo,,0.0,SH,POINT (-119.691933 -13.67815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,67.0,8.0,16.0,Marine Projects Ltd Sp z oo,LDRC,0-AllShips,Det Norske Veritas,9.4,Norway,5500.0,Ch 16 Fishfarms,6.87,4.6,3211234.0,,Norway,3609.0,10.0,9773260.0,FLORO,61.83782,82.0,5.263505,258534000,Ro Server,0-Underway(Engine),,Rostein AS,Rostein AS,Unknown,Aalesund,Propeller : Controllable Pitch,,,,10.0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:39:30.000Z""",1668184770.0,7-Cargo,2015-12-00,13.0,SH,POINT (5.263505 61.83782),272.0,5686.0,Norwegian Exclusive Economic Zone,2252.0,200NM,2252.0,Norway,NOR,Norway,0.0,0.0,,,,0.0,0.0,,,,14.05714,68.18893,5686.0,933027.0,NOR,,,578.0,,,578.0,,
206,78.0,10.0,16.0,,5VFA7,0-AllShips,,76.8,,,Hu Lu Dao,,3.6,5080900.0,,,,76.8,0.0,ZHOUSHAN,25.07276,96.0,118.994942,413446371,Djt Ptm 7,15-NotDefined,,,,,,,,,,7.1,,,,"""2021-03-11T01:39:04.000Z""",1615426744.0,7-Cargo,,,,POINT (118.994942 25.07276),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
